Sector,Partner,Required,Receive,Percentage,Quarter,Year,Gap,Reported
WASH,ICMC,357492,153697,43%, First Quarter ,2015,203795,yes
WASH,DRC,230000,0,0%, First Quarter ,2015,230000,yes
WASH,NICCOD,39100,253612,649%, First Quarter ,2015,-214512,yes
WASH,LWF,15000,26000,173%, First Quarter ,2015,-11000,yes
WASH,ACF,0,98814,0%, First Quarter ,2015,-98814,yes
Shelter,UNHCR,95162239,2860250,3%, First Quarter ,2015,92301989,yes
Shelter,NRC,8885400,6859425,77%, First Quarter ,2015,2025975,yes
Shelter,KfW,3000000,0,0%, First Quarter ,2015,3000000,yes
Shelter,Caritas,2699680,0,0%, First Quarter ,2015,2699680,yes
Shelter,PU-AMI,2028774,172887,9%, First Quarter ,2015,1855887,yes
Shelter,MEDAIR,2001182,0,0%, First Quarter ,2015,2001182,yes
Shelter,IR,1370233,0,0%, First Quarter ,2015,1370233,yes
Shelter,ACTED,1050000,0,0%, First Quarter ,2015,1050000,yes
Shelter,Intersos,845000,0,0%, First Quarter ,2015,845000,yes
Shelter,LWF,800000,0,0%, First Quarter ,2015,800000,yes
Shelter,ICMC,506211,360882,71%, First Quarter ,2015,145329,yes
Shelter,JHAS,208000,0,0%, First Quarter ,2015,208000,yes
Health,UNHCR,19566426,4299087,22%, First Quarter ,2015,15267339,yes
Health,UNICEF,6710000,958084,14%, First Quarter ,2015,5751916,yes
Health,UNFPA,4425230,0,0%, First Quarter ,2015,4425230,yes
Health,Caritas,3846200,0,0%, First Quarter ,2015,3846200,yes
Health,CVT,3600000,0,0%, First Quarter ,2015,3600000,yes
Health,HI,3599000,1802199,50%, First Quarter ,2015,1796801,yes
Health,QRC,3360000,0,0%, First Quarter ,2015,3360000,yes
Health,IRC,2479230,3092708,125%, First Quarter ,2015,-613478,yes
Health,JHAS,1569000,0,0%, First Quarter ,2015,1569000,yes
Health,WHO,1200000,0,0%, First Quarter ,2015,1200000,yes
Health,IOM,1133606,414935,37%, First Quarter ,2015,718671,yes
Health,IMC,1062003,0,0%, First Quarter ,2015,1062003,yes
Health,IRD,1008000,316909,31%, First Quarter ,2015,691091,yes
Health,MEDAIR,660151,0,0%, First Quarter ,2015,660151,yes
Health,NICCOD,180600,237752,132%, First Quarter ,2015,-57152,yes
Health,PU-AMI,90000,0,0%, First Quarter ,2015,90000,yes
Protection,UNHCR,62920689,5530193,9%, First Quarter ,2015,57390496,yes
Protection,UNICEF,20045232,656542,3%, First Quarter ,2015,19388690,yes
Protection,UNFPA,7176620,0,0%, First Quarter ,2015,7176620,yes
Protection,IOM,4750000,0,0%, First Quarter ,2015,4750000,yes
Protection,Mercy Corps,4700000,0,0%, First Quarter ,2015,4700000,yes
Protection,DRC,4462056,680392,15%, First Quarter ,2015,3781664,yes
Protection,CARE,3020240,800000,26%, First Quarter ,2015,2220240,yes
Protection,UNOPS,2000000,0,0%, First Quarter ,2015,2000000,yes
Protection,Intersos,1783600,1860583,104%, First Quarter ,2015,-76983,yes
Protection,IMC,1743401,0,0%, First Quarter ,2015,1743401,yes
Protection,JHAS,1700000,0,0%, First Quarter ,2015,1700000,yes
Protection,FPSC,1664816,57242,3%, First Quarter ,2015,1607574,yes
Protection,ICSC,1500000,0,0%, First Quarter ,2015,1500000,yes
Protection,ACTED,1325500,0,0%, First Quarter ,2015,1325500,yes
Protection,Questcope,1230000,49233,4%, First Quarter ,2015,1180767,yes
Protection,SCI,1198314,3037340,253%, First Quarter ,2015,-1839026,yes
Protection,ActionAid,1157350,141163,12%, First Quarter ,2015,1016187,yes
Protection,Un Women,1019000,600000,59%, First Quarter ,2015,419000,yes
Protection,HI,900000,340583,38%, First Quarter ,2015,559417,yes
Protection,WarChild UK,814100,0,0%, First Quarter ,2015,814100,yes
Protection,TDH,759915,680173,90%, First Quarter ,2015,79742,yes
Protection,ILO,700000,0,0%, First Quarter ,2015,700000,yes
Protection,LWF,645000,300,0%, First Quarter ,2015,644700,yes
Protection,SC Jordan,600276,0,0%, First Quarter ,2015,600276,yes
Protection,ACF,571600,0,0%, First Quarter ,2015,571600,yes
Protection,IRC,546325,1041832,191%, First Quarter ,2015,-495507,yes
Protection,OXFAM,534000,121374,23%, First Quarter ,2015,412626,yes
Protection,ICMC,510246,268384,53%, First Quarter ,2015,241862,yes
Protection,NICCOD,427400,392521,92%, First Quarter ,2015,34879,yes
Protection,WVI,400600,0,0%, First Quarter ,2015,400600,yes
Protection,MPDL,390000,174186,45%, First Quarter ,2015,215814,yes
Protection,UPP,374910,0,0%, First Quarter ,2015,374910,yes
Protection,PU-AMI,368248,95740,26%, First Quarter ,2015,272508,yes
Protection,NRC,300000,300000,100%, First Quarter ,2015,0,yes
Protection,APS,154420,0,0%, First Quarter ,2015,154420,yes
Protection,Caritas,138331,0,0%, First Quarter ,2015,138331,yes
Protection,MEDAIR,60996,0,0%, First Quarter ,2015,60996,yes
Protection,,,0,,Second Quarter,2015,0,no
Protection,,,0,,Third Quarter,2015,0,no
Protection,,,0,,Fourth Quarter,2015,0,no
